code,current_event_fixture,draw,form,id,link_url,loss,name,next_event_fixture,played,points,position,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win
3,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 181, 'opponent': 3}]",0,None,1,,0,Arsenal,"[{'is_home': False, 'day': 29, 'event_day': 1, 'month': 12, 'id': 196, 'opponent': 12}]",0,0,0,ARS,4,1260,1240,1320,1270,1320,1290,1,False,0
91,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 189, 'opponent': 17}]",0,None,2,,0,Bournemouth,"[{'is_home': False, 'day': 30, 'event_day': 2, 'month': 12, 'id': 197, 'opponent': 14}]",0,0,0,BOU,3,1120,1090,1200,1150,1180,1150,1,False,0
36,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 181, 'opponent': 1}]",0,None,3,,0,Brighton,"[{'is_home': True, 'day': 29, 'event_day': 1, 'month': 12, 'id': 191, 'opponent': 8}]",0,0,0,BHA,3,1080,1040,1120,1030,1110,1040,1,False,0
90,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 182, 'opponent': 8}]",0,None,4,,0,Burnley,"[{'is_home': True, 'day': 30, 'event_day': 2, 'month': 12, 'id': 192, 'opponent': 19}]",0,0,0,BUR,2,1150,1040,1070,1040,1070,1050,1,False,0
97,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 183, 'opponent': 7}]",0,None,5,,0,Cardiff,"[{'is_home': False, 'day': 29, 'event_day': 1, 'month': 12, 'id': 195, 'opponent': 11}]",0,0,0,CAR,2,1060,1020,1030,1010,1050,1020,1,False,0
8,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 190, 'opponent': 18}]",0,None,6,,0,Chelsea,"[{'is_home': False, 'day': 30, 'event_day': 2, 'month': 12, 'id': 193, 'opponent': 7}]",0,0,0,CHE,4,1300,1270,1330,1300,1320,1310,1,False,0
31,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 183, 'opponent': 5}]",0,None,7,,0,Crystal Palace,"[{'is_home': True, 'day': 30, 'event_day': 2, 'month': 12, 'id': 193, 'opponent': 6}]",0,0,0,CRY,2,1090,1080,1060,1060,1060,1060,1,False,0
11,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 182, 'opponent': 4}]",0,None,8,,0,Everton,"[{'is_home': False, 'day': 29, 'event_day': 1, 'month': 12, 'id': 191, 'opponent': 3}]",0,0,0,EVE,3,1160,1070,1170,1070,1180,1100,1,False,0
54,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 184, 'opponent': 20}]",0,None,9,,0,Fulham,"[{'is_home': True, 'day': 29, 'event_day': 1, 'month': 12, 'id': 194, 'opponent': 10}]",0,0,0,FUL,2,1050,1000,1120,1040,1040,1020,1,False,0
38,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 187, 'opponent': 14}]",0,None,10,,0,Huddersfield,"[{'is_home': False, 'day': 29, 'event_day': 1, 'month': 12, 'id': 194, 'opponent': 9}]",0,0,0,HUD,2,1050,1010,1010,990,1040,1020,1,False,0
13,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 185, 'opponent': 13}]",0,None,11,,0,Leicester,"[{'is_home': True, 'day': 29, 'event_day': 1, 'month': 12, 'id': 195, 'opponent': 5}]",0,0,0,LEI,3,1170,1100,1150,1090,1160,1120,1,False,0
14,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 186, 'opponent': 15}]",0,None,12,,0,Liverpool,"[{'is_home': True, 'day': 29, 'event_day': 1, 'month': 12, 'id': 196, 'opponent': 1}]",0,0,0,LIV,5,1330,1300,1340,1330,1340,1320,1,False,0
43,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 185, 'opponent': 11}]",0,None,13,,0,Man City,"[{'is_home': False, 'day': 30, 'event_day': 2, 'month': 12, 'id': 198, 'opponent': 16}]",0,0,0,MCI,5,1330,1310,1350,1340,1350,1340,1,False,0
1,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 187, 'opponent': 10}]",0,None,14,,0,Man Utd,"[{'is_home': True, 'day': 30, 'event_day': 2, 'month': 12, 'id': 197, 'opponent': 2}]",0,0,0,MUN,4,1260,1250,1320,1280,1270,1260,1,False,0
4,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 186, 'opponent': 12}]",0,None,15,,0,Newcastle,"[{'is_home': False, 'day': 29, 'event_day': 1, 'month': 12, 'id': 200, 'opponent': 18}]",0,0,0,NEW,2,1120,1060,1050,1030,1080,1060,1,False,0
20,"[{'is_home': True, 'day': 27, 'event_day': 2, 'month': 12, 'id': 188, 'opponent': 19}]",0,None,16,,0,Southampton,"[{'is_home': True, 'day': 30, 'event_day': 2, 'month': 12, 'id': 198, 'opponent': 13}]",0,0,0,SOU,2,1060,1040,1080,1070,1050,1040,1,False,0
6,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 189, 'opponent': 2}]",0,None,17,,0,Spurs,"[{'is_home': True, 'day': 29, 'event_day': 1, 'month': 12, 'id': 199, 'opponent': 20}]",0,0,0,TOT,4,1290,1270,1340,1310,1310,1310,1,False,0
57,"[{'is_home': True, 'day': 26, 'event_day': 1, 'month': 12, 'id': 190, 'opponent': 6}]",0,None,18,,0,Watford,"[{'is_home': True, 'day': 29, 'event_day': 1, 'month': 12, 'id': 200, 'opponent': 15}]",0,0,0,WAT,3,1130,1100,1150,1090,1170,1110,1,False,0
21,"[{'is_home': False, 'day': 27, 'event_day': 2, 'month': 12, 'id': 188, 'opponent': 16}]",0,None,19,,0,West Ham,"[{'is_home': False, 'day': 30, 'event_day': 2, 'month': 12, 'id': 192, 'opponent': 4}]",0,0,0,WHU,3,1110,1040,1120,1080,1110,1080,1,False,0
39,"[{'is_home': False, 'day': 26, 'event_day': 1, 'month': 12, 'id': 184, 'opponent': 9}]",0,None,20,,0,Wolves,"[{'is_home': False, 'day': 29, 'event_day': 1, 'month': 12, 'id': 199, 'opponent': 17}]",0,0,0,WOL,3,1220,1200,1170,1080,1170,1130,1,False,0
